Name,Project,Arrangement,Organization,Theme,Year,Periodicity,Requested,Delivered,Established
(Particulier),fototentoonstelling,"Gebiedsgebonden Kunst en cultuuractiviteiten, eenmalige kunstinitiatieven Sd Noord",stadsdeel Noord,Cultuur,2017,Eenmalig,€ 3.500,€ 0,€ 0
(Particulier),Klupko - gebiedsgebonden kunst- en cultuuractiviteiten,Gebiedsgebonden Kunst en cultuuractiviteiten Stadsdeel West,stadsdeel West,Cultuur,2017,Periodiek,€ 8.050,€ 0,€ 0
(Particulier),Klaverjasgroep de Banne voor 65+,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 1.722,€ 1.000,€ 1.000
(Particulier),Threshold choir Amsterdam,Subsidieregeling maatschappelijk initiatief stadsdeel Oost,stadsdeel Oost,Welzijn en Zorg,2017,Eenmalig,€ 8.280,€ 0,€ 0
(Particulier),Klaverjasclub De Banne zaalhuur,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 1.477,€ 1.477,€ 1.477
(Particulier),Wekelijkse klaverjasmiddag voor ouderen in het Huis van de Wijk Rivierenbuurt,Subsidieregeling bewonersinitiatieven Stadsdeel Zuid,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 1.750,€ 1.750,€ 1.750
(Particulier),Vrouwenontmoeting de Bolder,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 1.421,€ 1.400,€ 1.400
(Particulier),"Plejater, meespeeltheater voor kinderen",Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 4.500,€ 0,€ 0
(Particulier),Buurtfeest in de Bloemenbuurt,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 4.350,€ 600,€ 600
(Particulier),Safe Haven Baarsjes Onmoeting LHBT vluchtelingen,Subsidieregeling Burgerschap en Diversiteit,"Onderwijs, Jeugd en Zorg",Participatie,2017,Eenmalig,€ 4.630,€ 0,€ 0
(Particulier),ondersteuning aktiviteiten Belangen-en Ontspanningsvereniging Stellingwegflat,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 800,€ 800,€ 800
(Particulier),Nieuwjaarsreceptie Schellingwoude,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 500,€ 160,€ 160
(Particulier),activiteiten van de bewonersgroep Commelinstraat 2017,Subsidieregeling bewonersinitiatieven stadsdeel Oost,stadsdeel Oost,Welzijn en Zorg,2017,Eenmalig,€ 1.000,€ 1.000,€ 1.000
(Particulier),Ananse Storytelling Nationale Voorleesdagen,"Basisvoorziening activering, participatie en sociale accommodaties (SD Zuidoost)",stadsdeel Zuidoost,Welzijn en Zorg,2017,Eenmalig,€ 4.960,€ 4.960,€ 4.960
(Particulier),Multiculturele ontmoetingsochtend voor vrouwen,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 1.090,€ 1.090,€ 1.090
(Particulier),De MELCproef: De start van een vernieuwende zuivelcoöperatie in Metropoolregio Amsterdam,Subsidieregeling Groen in de buurt en Stadslandbouw-Voedselinitiatieven,Ruimte en Duurzaamheid,Ruimte en Duurzaamheid,2017,Eenmalig,€ 76.000,€ 0,
(Particulier),Ik wil een Rommelmarkt organiseren in en om de Binnenhofstraat,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 3.910,€ 2.505,€ 2.505
(Particulier),Werkgroep Amsterdams Vredescafe organiseert per jaar 10 avonden In Het Huis vd Wijk Lydia in Zuid,Subsidieregeling bewonersinitiatieven Stadsdeel Zuid,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 2.400,€ 2.000,€ 2.000
(Particulier),lentefeest mercuriusplein,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 3.755,€ 1.000,€ 1.000
(Particulier),Buurtkrant Zeven,"Basisvoorziening activering, participatie en sociale accommodaties (SD Centrum)",stadsdeel Centrum,Welzijn en Zorg,2017,Periodiek,€ 1.700,€ 1.700,€ 1.700
